spa,guc
tom juro,ajuraajüshi tom
tomas lo intento,nu'ulaküin tomas
tomas lo intenta,nu'ulakajüin tomas
tomas voto,ajutushi tomas
tom camina,waraitüshi tom
tom saludo,asaküshi tom
tomas trabaja,a'yataashi tomas
tom ira,o'uneechi tom
tom esta gordo,kaüseshi tom
tom esta loco,mamainashi tom
tom esta triste,mojusü naa'in tom
tom es timido,japüle'e tom
confia en tom,poonoo nümaa tom
intentalo de nuevo,pu'ulaka süchukua'a
intentadlo otra vez,pu'ulaka süchukua'a
intenta otra vez,pu'ulaka süchukua'a
pruebatelo,pu'ulakapa pünain
espera aqui,pa'atapaja ye'eyaa
aguarda aqui,pa'atapaja ye'eyaa
esperen aqui,ja'atapaja ye'eyaa
esperad aqui,pa'atapaja ye'eyaa
vigila a tom,pi'raja no'u tom
abusado,e'ruushi amünii
podemos ir,eesü süpüla wo'unuin
podemos irnos,eeshii süpüla wo'unuin
nos podemos marchar,o'unushii waya
fallamos,otchejaashii waya
hemos fallado,wotchejaa amaalü
nos olvidamos,mo'otusü waa'in
lo vimos,we'erüin
lo veiamos,we'erapuuin
conversamos,yootüshii waya
nosotros esperamos,a'atapajüshii waya
veremos,we'ereerün
despues veremos,we'ereerü mapeena
ya veremos,we'ereerü mapa
lo intentaremos,wo'ulakeerü
hemos ganado,akanajüshii waya
bien hecho,anasü putuma
que hay,kasa eekalü
a quien le importa,jaralü cho'ujaakalü amüin yaa
quien condujo,jaraichi chupetkai yaa
quien conducia,jarai achupeerajakai yaa
quien es el,jarai nia yaa
quien es,jarai yaa
aabe,aawee
quien se quedo,jarai makatakai yaa
quien ira,jareechi o'unakai yaa
quien es tom,jarai tom yaa
escribe a tom,püshaja nümüin tom
tu maneja,achupeerajüshi pia
pedazo de idiota,malawa'ata
tu empieza,pu'uta piakai
lo intentaste,pu'ulaküin
tu estas perfectamente,anasha'anashi ma'ain pia
estas perfectamente,anasha'anashi ma'ain
mas alto,yaletashaanashi
apuntad mas alto,pu'ulaka so'omüin sünain yaletasha'anain
todos a bordo,so'otoo japushua'alee
tengo razon,pansaasü tatuman
me equivoco,tocheja amaalün
estoy equivocada,tocheja amaalün
respondale a tomas,pusokata nümüin tomas
respondele a tomas,pusokata nümüin tomas
respondanle a tomas,josokata nümüin tomas
tienes dieciocho,po'oloo mekiisalüirü pia
has cumplido dieciocho,pikeraajüin po'oloo mekiisalü juya
estas bien,anaatashi pia
te apuntas,ouneechi pia
estas dentro,yalashi pia paülü'ü
estas levantado,atamaichipa pia
preguntale a cualquiera,püsakiraa namüin eeke ein
preguntadle a cualquiera,püsakiraa namüin eeke ein
preguntele a cualquiera,püsakiraa namüin eeke ein
preguntenle a cualquiera,jasakiraa namüin eeke ein
pregunta por aqui,püsakiraa yaapüna
pregunta en los alrededores,püsakiraa ya pejeepüna
ten cuidado,jalia pia
se cuidadoso,paimaja pukuwaippa
estate contento,talataa pia
llega a tiempo,püntaamatüin
llegue a tiempo,antaamatüshi taya
sea paciente,ejimalaa paa'in
se serio,pansaa pukuwa'ipa
los pajaros cantan,na wuchiikana ee'irajüshi
los pajaros estan cantando,na wuchiikanairü ee'irajüshi
traed comida,püsaajaa eküülü
traed ayuda,püsaajaa akaaliijaa
trae vino,püsaajaa wino
puedo ir,eesü süpüla tounüin
puedo venir,eesü süpüla tantüin
puedo acercarme,eesü süpüla tarütkain
puedo ayudar,eesü süpüla takaaliijüin piia
me puedo quedar,eesü süpüla makaatüin taya
lleva esto,piikajaa tüü
comprobad eso,pirajaa tia
comprueba esto,pirajaa tüü
escoge uno,püneekaaja waneeshi
vuelve otra vez,püle'ejaa püchukua'a
ven solo,püntaa müiwa'a
vente,püntaa'ma
venganse,püntaa'ma
veni temprano,püntaa'matüin wattachon
ven temprano,püntaa'matüin wattachon
vengan temprano,jantaa'matüin wattachon
venga temprano,püntaa wattachon
pasale,pülaneraa
pasele,pülaneraa'ma
pasenle,jalataa'ma
entre,pükerotaa
pase,pükerotaa
ven rapido,püntaata
veni rapido,püntaata
ven a mi,jalaichi yaamüin
venid a mi,jalaichi yaamüin
ven a nosotros,jalaichi wanainmüin
venid a nosotros,jalaichi wanainmüin
ya parale,püshawaleera'ma
fue tom,nia tom
pasa adentro,pülataa paülü'ü
entra de una vez,pülataa'mata
entra ya,pülataa'ma
metete dentro,pükerotaa paülü'ü
los hombres lloran,na tooloyuka a'yalajüshi
no vengas,nnojo püntüin
no salteis,nnojo püwatüin
no mireis,nnojo pirakain
no os movais,nnojo jakütülain
no te muevas,nnojo pükütülain
no se mueva,nnojo pükütülain
no se muevan,nnojo jakütülain
no cantes,nnojo pi'rajain
no canten,nnojo ji'rajain
no pares,nnojo püsha'walüin
no hables,nnojo yootüin pia
no hables,nnojo yootüin pia
no esperes,nnojo pa'atapajüin
no esperen,nnojo ja'atapajüin
no esperes,nnojo pa'atapajüin
no grites,nnojo pü'waatüin
no chilles,nnojo püsoutain
no chilleis,nnojo püsoutain
no chille,nnojo püsoutain
no chillen,nnojo jasoutain
come despacio,pikaa jayatta'a
come despacio,pikaa jayatta'a
enfrentate a los hechos,pünouta tü kasachiki
enfrentaos a los hechos,pünouta tü kasachiki
enfrentese a los hechos,pünouta kasachikika
enfrentense a los hechos,janouta tü kasachikika
el fuego quema,tü sikika asijaasü
seguilo a tomas,oushikawaa nuchiirua tomas
siguelo a tomas,oushikawaa nuchiirua tomas
sigalo a tomas,nuchiirua pia tomas
siganlo a tomas,ju'unaa nuchiirua tomas
siguele,nüchiirua pia
siguelo,nuchiirua pia
olvidate de tomas,motoo paa'in tomas
olvidate de tomas,motoo paa'in tomas
olvidese de tomas,motoo'ma paa'in tomas
olvidenlo,motoo jaa'in
perdonanos,ju'ulama tia
perdonenos,ju'ulama waya
consiguete una vida,püchajaa pukuwa'ipa
entra,pükerotaa
vete a la cama,pu'unaa piisala
dejalo,pu'ulapan
vete a casa,pu'una miichipa'amüin
vayase a casa,pu'unama miichipa'amüin
ve a ver a tom,pu'unaa piirajaa tom
anda a trabajar,pu'una pi'atapan
dios existe,eeshi maleiwa
ten fe,püchechera punoula
tened fe,püchechera punoula
tengan fe,jüchechera janoula
confien,ataralawaa amaa
el salio a comer,niakai ajuittüshi süpüla ekaa
el se rindio,niakai nuulain tia
se rindio,nuulaain tia
lo dejo,nuulain
cedio,nuulain
tiro la toalla,nujutüin nainraka
descolgo,nükacherüin
el cogio el telefono,niakai naapain tü serulaalü
el es dj,niakai dj
el esta aqui,anii niakai ya'aya
el es gentil,niakai anamia
el es amable,niakai kamaneshi
el es generoso,niakai aapüin main
el es mezquino,niakai ichee ajapü
el es alto,niakai miyo'usenu
el se reia,asirajapüshi niakai
lo hizo el,naainjaala niakai
lo logro,naainküin
lo hizo,naainjaala
esta sin blanca,nnojotsü nüma kasuwo'uka
esta arruinado,nnojotsü kasa nüma'ana
el es cruel,niakai mojulashi
el miente,alawaa münaka
el esta mintiendo,niakai aküjushi alawaa
es inteligente,kekiishi
el es inteligente,niakai kekiishi
el es inteligente,niakai kekiishi
ve al sur,pu'unaa uuchimüin
id hacia el sur,pu'unaa uuchipünaa
hola tom,jaman tom
helo aqui,anii nia
aqui esta el,aniisa niakai
aqui esta,aniisa shia
aqui vamos,chairü waya
hey calmate,piakai pimalawaa
quieto,jimataa
mantente quieto,jimataashatüin'jatu pia
que aburrimiento,akulajawaa main
como esta tom,jamayaa naa'in tom
que bonito,anachonsü
encantador,anashatasü main
es una preciosidad,anachonkai main saa'in
que tragico,alütaleesa
que tal el trabajo,jamayaa saa'in pi'yatain
rapido a casa,mayaa cha miichipa
corre vete a casa,püwataawa pu'unaa cha miichipa
lo admito,aa taya tayakai
soy un hombre,toolo taya
soy una persona,wayuu taya
soy feliz,talatüshi taya
estoy feliz,talatüshi taya
yo estoy contento,talatashatashi taya
yo soy humano,wayuu taya
estoy listo,kerashi taya
comi arroz,eküshi taya roo
yo lo rompi,tasolojüin
yo puedo ayudar,eesü süpüla takaaliijün
puedo saltar,eesü süpüla tawatüin
se leer,atijüshi taya aashaje eraa
puedo cantar,eesü süpüla tee irajüin
se nadar,atijüshi taya ashuunajaa
solte una risita,tajütüin tasirain
no estoy de acuerdo,nnojotsü paa'inwaain taya sünain
lo dudo,nnojotsü toonoin amaa
como aqui,eküshi ya'aya
yo como aqui,eküshi taya ya'aya
yo como carne,eküshi taya asalaa
envidio a tom,tachumujüin tom
lo envidio,tachumujüin
me siento mal,ayuuisü taa'in
me siento viejo,laülaasü taa'in
me sentia mal,ayuuipünashi taya
lo encontre,tantaa anain
lo encontre,tantaa anain
me perdi,amülouishi taya
me puse enfermo,ayuuishi taya
me puse malo,aapushi taya
ya lo tengo,ani tama'ana
lo he cogido,ani taapain
imagino que si,aa saa'in tamüin
lo imagino,saa'in tamüin
lo supongo,shiataja eere
odio a tom,kanainshi taa'in tom
te detesto,kanainsü pia taa'in
tengo uno,ani waneeshi tama'ana
yo tengo uno,eesü waneeshi tama'ana
gane,akanajüshi taya
te oigo,taapüin pia
le ayudo,takaaliijüin pia
conoci a tom,te'raajüichipa tom
conozco a tom,te'raajüin tom
la conozco,te'raajüin
lo conozco,te'raajüichipa
ahora se,tatüjaaipaa aau
te conozco,te'raajüin pia
os conozco,te'raajüin jia
les conozco,te'raajüin jia
yo a usted le conozco,tekei te'raajüin pia
yo a ustedes les conozco,tekei te'raajüin jaya
me agrada tom,kamaneeshi tamüin tom
me gusta el arte,tacheküin tü ejerajaaka
me gusta el,tacheküin niakai
el me gusta,nia niakai tachekaka
me gusta el te,tacheküin tü te
me agradas,kamaneeshi pia tamüin
me gusto,tachekashaatüin
me quede,makatüshi taya
permaneci,yaashi waneepia
lo amo a tomas,tamürajüin tomas
yo lo amo,tamürajüin main
lo amo,tamürajüin
estoy enamorada de el,müliaasü taya ni'ire
te quiero,tacheküin pia
te amo,tamürajüin pia
te amo,tamürajüin pia
os amo,tamürajüin jia
me encanto,tachekashaatüin
echo de menos a tom,sotusu taa'ain tom
le echo de menos,sotusu taa'ain
lo extra o,cho'ujaashi tamüin
te echo de menos,sotusu taa'ain pia
tengo que correr,awatainjachi taya
necesito a tom,cho'ujaashi tamüin tom
necesito hielo,cho'ujaasü yeelo tamüin
objete,asouktüshi taya
prometi,müshi taya
me fui corriendo a casa,awataashi taya cha miichipamüin
me acuerdo,sotüsu taa'in
yo me acuerdo,sotüipa taa'in
yo recuerdo,sotüsu taa'in
lo recuerdo,sotüsu taa'in tia
renuncie,too'ulain tia
dije que si,aa müshi taya
yo decia que si,aa maapüshi taya
me sente,aikkalashi taya
me sentaba,aikkalapünashi taya
lo vi,te'rüin
vi eso,te'rüin tia
veia eso,te'rapüin tia
grite,a'waatüshi taya
yo grite,a'waatüshi taya
los veo,te'rüin jaya
las veo,te'rüin jia
dispare a tom,teitüin tom
sobrevivi,kataa o'uyülia
creo que si,aa saa'in tamüin
eso creo,shiaya saa'in tamüin
vomite,eetüshi taya
se lo dije a tom,tamüshi tom
uso esto,shia taapaka
utilizo esto,shia taapaka
quiero a tom,tacheküin tom
quiero uno,tacheküin waneeshi
quiero una,tacheküin waneesia
quiero uno,tacheküin waneeshi
yo quiero uno,tekei tacheküin waneeshi
fui el ultimo,chiiruajachi taya
era el ultimo,achiiruajapüshi
llegue tarde,antüshi taya mapan
yo estaba enfermo,ayuuipünashi taya
yo estaba enferma,ayuupünashi tayaka
no voy a ir,nnojoishi taya o'unuinchi
yo hago ejercicio,aainjüshi taya jetsisa
yo lo escribi,ashajüshi taya
yo lo compraria,eesü süpüla tayalajüin tia
estare bien,aneechi taya
lo hare yo,taainjerü tia
lo hare,taainjerü
entrare,ekerotechi taya
voy a entrar,ekerotuinjachi taya
soy un heroe,katsüinshi taya
soy un mentiroso,a'ala taya
soy gemelo,senkeyuushi taya
yo soy mejor,anamiashanashi taya
estoy agotado,mapüsaashatashi taya
estoy comprando,ayalajüshi taya
soy torpe,malashi taya
ahi voy,cha'aichi taya
estoy comiendo,ekaashi taya
yo soy mas rapido,kaalapüshi taya
soy codicioso,kaünuurai taya
yo estoy escondido,ounjulaashi taya
ya tengo hambre,outüshi taya jamü
me pica el bagre,suchottüin taya jimaka
me pica el bagre,suchottüin taya jimaka
soy inmune,katsüinshi taa'in
me estoy moviendo,akutulaashi taya
me mudare,okolojoinchi taya
soy normal,wayuulaa ne taya
estoy asustado,mmotshi taya
estoy soltero,mamajünashi taya
estoy soltera,mamajünasü taya
soy soltero,mamajünashi taya
estoy flacucho,aürütshi taya
tengo sue o,atunkesü taa'in
tengo sue o,atunkesü taa'in
tengo sue o,atunkesü taa'in
estoy tan gordo,kaüsüüshatashi taya
estoy tan gorda,kaüsüüshatasü taya
lo estoy intentando,too ulaküin waneepia
me estoy esforzando,too'ulakashatüin
tengo doce a os,po'loo piamamüin touyase
tengo doce,eesü tama'ana po'loo piamamüin
no estoy bien,nnojoishi taya anaain
he comido,eküichipa taya
ignora a tom,nnojo poonoin nümaa tom
no le hagas caso,nnojo poonoin sümaa
es grande tom,miyo'u chii tom
esta gordo tom,kaüsüüshi tom
tom es divertido,kemee'rain main tom
tiene calor tom,walatsüshi tom
tom esta enfermo,ayuuikai naa'in tom
esta loco tom,mamainnaashi tom
esta fuera tom,chasii anooipa'a tom
es alto,yaletüshi
es gratis,maliasat
esta bueno,anasü
es aca,anuu ya'aya
aqui,ya'aya
esta aqui,anii ya'aya
esto es real,shiimüin tüü
es inofensivo,anamiaa
es seguro,pansaasü
es verdad,shiimüin
vale eso,shia süliaka
esta bien eso,anasü tü ma'aka
eso es todo,shia ne'e tia
es ese,nia chira
acaso es asi,müinjatüche eera paashin
es asi,müinjatü maaya
esto es bueno,anasü tü ma'aka
eso es todo,shia ne'e tia
es este,nia chi
eso pasa,alataapüsü tia
es de tom,najüin tom
esta vivo,kataa o'uchi nia
esta vacio,malu'usat
es estupendo,anashatasü ma'in
es grandioso,miyo'u ma'in
es verde,wüittüsü
esta verde,türaa wüittüsü
es magia,kapülainsü
es mi cd,tamüin türaa cd
es de noche,aipa'asü
ha anochecido,aipa'ajasü
es de parte mia,taajüin tayakai
esta listo,kerasü
vale,aa ne'e
esta bien,anasü
es correcto,shia tia
esta ahi,naa yala
es blanco,kasuutolu
hace viento,jouktaisü
es suyo,pa'ajüin
es tuyo,pa'ajüin
jesus lloro,jesus a'yalajüshi
tan solo hazlo,painrapa ne'e
continua,maaya
continue,maaya
toma apuntes,püshajaa paapajaka
tomad apuntes,püshajaa paapajaka
tomen notas,jashajaa jaapajaka
quedate tranquilo,jimataa pia
guarden silencio,ko'utaa jia
mantente quieto,jimataa pia waneepia
mantenete quieto,jimataa pia waneepia
mantengase quieto,jimataa pia waneepia
mantenganse quietos,jimataa jaya waneepia
abandona la ciudad,pu'unaa yaaje sulu'uje alijunapiapa'a
deja la ciudad,pu'unaa yaaje sulu'uje alijunapiapa'a
sal de la ciudad,pu'unaa yaaje sulu'uje alijunapiapa'a
deja ir a tom,pu'ula nuunai tom
dejar entrar a tom,pu'ula nekerotai tom
dejale irse,pu'ula suunai
deja que se vaya,pu'ula suunai
dejalo entrar,pu'ula nekerotai
dejalo entrar,pu'ula nekerotai
dejelo entrar,pu'ula nekerotai
dejenlo entrar,ju'ula nekerotai
dejadlo entrar,ju'ula nekerotai
dejame salir,pu'ula tajuittüin
dejadme salir,pu'ula tajuittüin
dejadme salir,pu'ula tajuittüin
deja que pague yo,pu'ula tawalaajüin tekei
dejame ver,che te'raiwa
dejeme ver,che te'raiwa
a ver,che teirakai
charlemos,yootai waya
vamos a charlar,joo'uya yootai waya
besemonos,joo'uya wachu'laai
juguemos,joo'uya washaittaai
oremos,joo'uya woorajai
recemos,joo'uya woorajai
desistamos,joo'uya woo'ulai
renunciemos,joo'uya woo'ulai
cantemos,joo'uya wee irajaai
nademos,joo'uya washuunajaai
conversemos,yootai waya
votemos,waneekaajai
caminemos,waraittaai waya
trabajemos,wa'yatai pala
levantalo,püyaleraa
mira de nuevo,pirakawaa suchukua'a
mira de nuevo,pirakawaa suchukua'a
mire de nuevo,piraka suchukua'a
miren de nuevo,jirakawaa suchukua'a
mira hacia adelante,piraka palajana
mira hacia adelante,piraka palajana
mire hacia adelante,piraka palajana
miren hacia adelante,jiraka palajana
miralo,piraka nümüin
observalo,piraka nümüin
contemplalo,piraja nia
mirame,piraka tamüin
miranos,piraka wamüin
observanos,jiraka wamüin
buscalo,püchajawaa
busquenlo,jachajawata
mira alli,jiraka chaaya
el amor dura,tü aiwaa apüla kakaliaasü
mama lloro,a'yalajüsu maachon
sin comentarios,nnojotsü kasa tanüikintü
en serio,shiimüin
no hay problema,nnojotsü kasachiki sünainje
sin problemas,nnojotsü kasachiki
ningun problema,nnojotsü kasachiki
no corrio nadie,nnojotsü jaraliin awatain
nadie corrio,nnojotsü jaraliin awatain
nadie corria,nnojotsü jaraliin awatawein
no corria nadie,nnojotsü jaraliin awatawein
por favor sientese,püikkala paala
por favor sientate,püikkala paala
por favor sentaos,jaikkala paala
baja la voz,motsoola pünuiki
reemplazadlo,pü wanajawaata
di patata,maa patata
decid patata,maa patata
di güisqui,maa güisqui
decid güisqui,maa güisqui
sonria,püsirajaa
di por favor,maa por favor
siguelo,oushikawaa nuchiirüa
es vieja,laülaairü
sonrio,asirajüshi
ella esta ocupada,shiaka nnojotsü eein
canta,pi'rajaa
huele esto,keejuusü
ole esto,paataa eejuu tüü
huelan esto,jaataa eejuu tüü
oled esto,jaataa eejuu tüü
huela esto,jaataa eejuu tüü
retrocede,puuyantaa
empieza aqui,pu'ttaa ya'aya
empieza de nuevo,pu'ttaa suchua'a
mantente alerta,jaliashataa
mantente consciente,kekiirashanüinjatü
mantente despierto,püchijiraa ma
no te duermas,nnojo putunkaai
mantente cerca,yaa pia pejeepunaa
no te alejes de aqui,nnojo wattain jia yajee
quedate a mi vera,makataa pia yaa soulu
mantente alerta,jaliashataa
no te muevas,nnojo pükütülain
quieto,jimataa
quedate ahi,jimataa pia yala
hazte a un lado,pusütnaa
mas rapido,puuntaa
deja de mentir,nnojo puküjain pa'alain
deja de bolacear,nnojo puküjain alawaa
detente ahi,jimataa pia
estudia harto,pikiraja soo'omüin
estudia mas,pikiraja soo'omüin
toma un bus,paapan wanee e'ejena
toma notas,pushajaa saa'u
llevate estos de aqui,pülü'üjaa tüirü yaaje
quedate con estos,makataa pia namaa
hablame,yoota pia
habla conmigo,yoota pia tama
hablad conmigo,yoota pia tama
prueben esto,joo'ulakaa tüü
proba esto,pu'ulaka tüü
prueba esto,pu'ulaka tüü
ese es mi chico,nia tatooloin chira
buen chico,anamia chi
eso duele,tia aiisu
eso funciona,aneerü tü maka
eso valdra,eejerü anain
con eso vale,süka tia anasü
eso me vale,shia süliaka
eso me sirve,aneerü türaa tamüin
ese es tom,nia chia tom
esa es ella,shia shiaka tia
es ella,shia shiaka
ese es el,nia niakai chia
eso le pertenece,nunüin türaa
eso le pertenece a el,nümüin niakai türaa
es nuevo,jeketü
esta mojado,chü'lüipa
enga aron,emeejunashi
hicieron trampas,emeejawaa natuma
se quedaron,makatusuirü
se mantuvieron,yalashi waneepia
lo intentaron,noo'ulaküin
ellos votaron,naneekain nayainu
votaron,naneekain
ellos estan dentro,chashii naya paülü'ü
ellas estan dentro,chasü shiakaliru paülü'ü
ellos se apuntan,yainjani wamaa nayainu
esto esta bien,tüü anasü
esto esta correcto,anasü müin yaa
hemos llegado,antüshi waya
este es el fin,shia süjalajai tüü
esto es todo,tüü shia supüshua'a
este es,nia chii
esto funciona,tüü aneerü
esto trabaja,tüü maka a'yatasü
esto valdra,aneerü tüü wapüleeru
con este vale,süka tüü aneerü
esto me basta,kerasü suma tüü
el tiempo vuela,kaalapüshatsü tü ka'ika
se acabo el tiempo,aja'lajasü tü ka'ika
tom convino aquiescente,aa müshi tom süpüla tia
tom estuvo de acuerdo,aa müshi tom
tomas esta de acuerdo,aa müshi tomas
tom me mordio,nojottüin taya tom
tomas eructo,eeinashi tomas
tom llamo,ounekaashi tom
tomas hace trampa,tomas aainjüshi ata'ülaapüleru
tomas bailo,ayonnajüshi tomas
tom baila,ayonnajüi tom
tom lo hizo,naa'intüin tom
tom bebe,asüshi tom
tom toma,asüshi tom
tomas conduce,tomas nülüjüintu
tom reprobo,a'ülüjiraashi tom
tom fracaso,isaasü nüchiki tom
a tom se le olvido,motusu naa'in tom
tom peleo,atkashi tom
tom lucho,atkashi tom
tom solto un grito ahogado,wattaasü nüle'eru nikiisa tom
tom se quedo sin aliento,manüireesai tom
tom dio un grito ahogado,wattaasü nüle'eru nikiisa tom
tom metio la pata,mojusü sukuwa'ipa nutuma tom
tom se levanto,achijiraashi tom
tom ayudo,akaaliijashi tom
tom me golpeo,nü'yaatüin taya tom
tom es malo,mojulashi tom
tom es grande,miyo'u tom
tom esta gordo,kaüsüüshi tom
tom es divertido,kemeerain main tom
tom esta malo,mojulashi joolu'u tom
tom esta loco,mamainnaashi tom
tom es nuevo,jekechi tom
tom es raro,waneejaishatashi tom
tom es viejo,laülaashi tom
tom ha salido,ajuittüshi tom
tom esta triste,mujuusu naa'in tom
tom es timido,japülii ma'in tom
tom esta mojado,jashichishi tom
tom salto,awatüshi tom
tom miro,eirakashi tom
tom gimio,keirashi nümula tom
tom asintio,tom oonoshi sümaa nanüiki
tom obedecio,oonoshi tom
tom se detuvo,asha'walaashi tom
tomas llamo por telefono,eenakushi tomas sulu'upüna taleepana
tomas telefoneo,ataleepanajashi tomas
